Time µs,Current.Ia,Current.Ib,Current.Ic,Voltage.Va,Voltage.Vb,Voltage.Vc
1133827200002994048,-31.73828125,-1057.12890625,1220.703125,7775.87890625,-17004.39453125,9313.96484375
1133827200003058944,-31.73828125,-1057.12890625,1220.703125,8166.50390625,-17016.6015625,9069.82421875
1133827200003124992,25.634765625,-1082.763671875,1181.640625,8593.75,-17102.05078125,8593.75
1133827200003190016,25.634765625,-1082.763671875,1181.640625,8825.68359375,-17175.29296875,8312.98828125
1133827200003255040,89.111328125,-1126.708984375,1135.25390625,9265.13671875,-17077.63671875,7897.94921875
1133827200003320064,89.111328125,-1126.708984375,1135.25390625,9692.3828125,-16955.56640625,7470.703125
1133827200003384960,151.3671875,-1151.123046875,1104.736328125,9960.9375,-17016.6015625,7141.11328125
1133827200003449984,151.3671875,-1151.123046875,1104.736328125,10278.3203125,-16967.7734375,6726.07421875
1133827200003515008,211.181640625,-1159.66796875,1053.466796875,10644.53125,-16882.32421875,6445.3125
1133827200003580032,211.181640625,-1159.66796875,1053.466796875,11047.36328125,-16833.49609375,5944.82421875
1133827200003645056,260.009765625,-1187.744140625,992.431640625,11291.50390625,-16613.76953125,5603.02734375
1133827200003709952,260.009765625,-1187.744140625,992.431640625,11596.6796875,-16699.21875,5212.40234375
1133827200003776000,327.1484375,-1190.185546875,960.693359375,11865.234375,-16528.3203125,4797.36328125
1133827200003841024,327.1484375,-1190.185546875,960.693359375,12268.06640625,-16552.734375,4431.15234375
1133827200003906048,362.548828125,-1240.234375,894.775390625,12548.828125,-16418.45703125,3942.87109375
1133827200003970944,362.548828125,-1240.234375,894.775390625,12817.3828125,-16296.38671875,3576.66015625
1133827200004035968,443.115234375,-1224.365234375,859.375,13110.3515625,-16162.109375,3149.4140625
1133827200004100992,443.115234375,-1224.365234375,859.375,13415.52734375,-15979.00390625,2734.375
1133827200004166016,482.177734375,-1234.130859375,795.8984375,13574.21875,-15832.51953125,2368.1640625
1133827200004231040,482.177734375,-1234.130859375,795.8984375,13879.39453125,-15661.62109375,1965.33203125
1133827200004295936,535.888671875,-1245.1171875,728.759765625,14086.9140625,-15502.9296875,1550.29296875
1133827200004360960,535.888671875,-1245.1171875,728.759765625,14306.640625,-15295.41015625,1135.25390625
1133827200004427008,594.482421875,-1232.91015625,677.490234375,14501.953125,-15100.09765625,671.38671875
1133827200004492032,594.482421875,-1232.91015625,677.490234375,14733.88671875,-14904.78515625,183.10546875
1133827200004557056,648.193359375,-1232.91015625,614.013671875,14965.8203125,-14660.64453125,-109.86328125
1133827200004621952,648.193359375,-1232.91015625,614.013671875,15222.16796875,-14538.57421875,-598.14453125
1133827200004686976,688.4765625,-1226.806640625,550.537109375,15393.06640625,-14221.19140625,-988.76953125
1133827200004752000,688.4765625,-1226.806640625,550.537109375,15515.13671875,-13891.6015625,-1379.39453125
1133827200004817024,742.1875,-1204.833984375,487.060546875,15625.0,-13671.875,-1867.67578125
1133827200004882048,742.1875,-1204.833984375,487.060546875,15832.51953125,-13427.734375,-2124.0234375
1133827200004946944,789.794921875,-1206.0546875,418.701171875,15979.00390625,-13183.59375,-2734.375
1133827200005012992,789.794921875,-1206.0546875,418.701171875,16247.55859375,-12902.83203125,-3198.2421875
1133827200005078016,833.740234375,-1193.84765625,349.12109375,16296.38671875,-12670.8984375,-3552.24609375
1133827200005143040,833.740234375,-1193.84765625,349.12109375,16503.90625,-12219.23828125,-3894.04296875
1133827200005208064,891.11328125,-1171.875,278.3203125,16613.76953125,-12048.33984375,-4406.73828125
1133827200005272960,891.11328125,-1171.875,278.3203125,16748.046875,-11779.78515625,-4699.70703125
1133827200005337984,931.396484375,-1149.90234375,216.064453125,16821.2890625,-11474.609375,-5139.16015625
1133827200005403008,931.396484375,-1149.90234375,216.064453125,16918.9453125,-11181.640625,-5578.61328125
1133827200005468032,981.4453125,-1115.72265625,157.470703125,16943.359375,-10900.87890625,-6042.48046875
1133827200005533056,981.4453125,-1115.72265625,157.470703125,17102.05078125,-10510.25390625,-6286.62109375
1133827200005597952,1029.052734375,-1093.75,72.021484375,17248.53515625,-10253.90625,-6811.5234375
1133827200005664000,1029.052734375,-1093.75,72.021484375,17224.12109375,-9887.6953125,-7177.734375
1133827200005729024,1065.673828125,-1055.908203125,24.4140625,17297.36328125,-9497.0703125,-7531.73828125
1133827200005794048,1065.673828125,-1055.908203125,24.4140625,17272.94921875,-9216.30859375,-7922.36328125
1133827200005858944,1107.177734375,-1019.287109375,-48.828125,17333.984375,-8874.51171875,-8276.3671875
1133827200005923968,1107.177734375,-1019.287109375,-48.828125,17431.640625,-8544.921875,-8752.44140625
1133827200005988992,1148.681640625,-975.341796875,-114.74609375,17333.984375,-8239.74609375,-9155.2734375
1133827200006054016,1148.681640625,-975.341796875,-114.74609375,17492.67578125,-7836.9140625,-9411.62109375
